Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFitBatchDegree(size=50),2,150,100,0.2,1.335,0.6930187587648692,50.0
FirstFitBatchDegree(size=50),2,200,100,0.2,1.3,0.6244997998398398,50.0
FirstFitBatchDegree(size=50),2,300,100,0.2,1.45,0.6763874629234341,50.0
FirstFitBatchDegree(size=50),2,400,100,0.2,1.44,0.8464041587799531,50.0
FirstFitBatchDegree(size=50),2,500,100,0.2,1.595,0.9399335082866236,50.0
FirstFitBatchDegree(size=50),2,600,100,0.2,1.4,0.6855654600401044,50.0
FirstFitBatchDegree(size=50),2,700,100,0.2,1.45,0.7262919523166975,50.0
FirstFitBatchDegree(size=50),2,800,100,0.2,1.385,0.7511824012848012,50.0
FirstFitBatchDegree(size=50),2,900,100,0.2,1.65,0.9810708435174292,50.0
FirstFitBatchDegree(size=50),2,1000,100,0.2,1.48,0.7379701890998037,50.0
FirstFitBatchDegree(size=50),3,50,100,0.2,1.3833333333333333,0.51720402163943,50.0
FirstFitBatchDegree(size=50),3,100,100,0.2,1.8066666666666664,0.7988602992875399,50.0
FirstFitBatchDegree(size=50),3,150,100,0.2,2.036666666666666,0.9450396817065408,50.0
FirstFitBatchDegree(size=50),3,200,100,0.2,2.306666666666666,1.1715896133980628,50.0
FirstFitBatchDegree(size=50),3,300,100,0.2,2.6066666666666665,1.5722453865588395,50.0
FirstFitBatchDegree(size=50),3,400,100,0.2,2.586666666666667,1.408797753799711,50.0
FirstFitBatchDegree(size=50),3,500,100,0.2,2.9066666666666667,1.7569417874376043,50.0
FirstFitBatchDegree(size=50),3,600,100,0.2,3.1,1.6993462795374514,50.0
FirstFitBatchDegree(size=50),3,700,100,0.2,2.803333333333333,1.6667299987967124,50.0
FirstFitBatchDegree(size=50),3,800,100,0.2,3.3266666666666667,2.1181648241395714,50.0
FirstFitBatchDegree(size=50),3,900,100,0.2,3.27,1.8736150440614352,50.0
FirstFitBatchDegree(size=50),3,1000,100,0.2,2.94,1.7921929459618893,50.0
FirstFitBatchDegree(size=50),4,50,100,0.2,1.6175,0.3975786085794858,50.0
FirstFitBatchDegree(size=50),4,100,100,0.2,2.49,0.5678027826631356,50.0
FirstFitBatchDegree(size=50),4,150,100,0.2,3.1525,0.7975705297965817,50.0
FirstFitBatchDegree(size=50),4,200,100,0.2,3.32,1.1280957406177898,50.0
FirstFitBatchDegree(size=50),4,300,100,0.2,4.0575,1.156965319272795,50.0
FirstFitBatchDegree(size=50),4,400,100,0.2,4.32,1.5411359446849586,50.0
FirstFitBatchDegree(size=50),4,500,100,0.2,4.9475,1.9330335615296488,50.0
FirstFitBatchDegree(size=50),4,600,100,0.2,5.3425,2.0148371522284374,50.0
FirstFitBatchDegree(size=50),4,700,100,0.2,5.3225,2.0050857213595634,50.0
FirstFitBatchDegree(size=50),4,800,100,0.2,5.6475,2.3307978784098804,50.0
FirstFitBatchDegree(size=50),4,900,100,0.2,5.895,2.327600695995772,50.0
FirstFitBatchDegree(size=50),4,1000,100,0.2,6.4125,2.3477049963741186,50.0
FirstFitBatchDegree(size=10),2,50,100,0.3,1.305,0.4521891197275759,10.0
FirstFitBatchDegree(size=10),2,100,100,0.3,1.255,0.4329838334164452,10.0
FirstFitBatchDegree(size=10),2,150,100,0.3,1.39,0.6106553856308811,10.0
FirstFitBatchDegree(size=10),2,200,100,0.3,1.41,0.6905794668247819,10.0
FirstFitBatchDegree(size=10),2,300,100,0.3,1.35,0.51720402163943,10.0
FirstFitBatchDegree(size=10),2,400,100,0.3,1.195,0.3383415434143433,10.0
FirstFitBatchDegree(size=10),2,500,100,0.3,1.335,0.5918403500945166,10.0
FirstFitBatchDegree(size=10),2,600,100,0.3,1.325,0.5402545696243577,10.0
FirstFitBatchDegree(size=10),2,700,100,0.3,1.3,0.4847679857416329,10.0
FirstFitBatchDegree(size=10),2,800,100,0.3,1.3,0.5244044240850758,10.0
FirstFitBatchDegree(size=10),2,900,100,0.3,1.395,0.6296626080687975,10.0
FirstFitBatchDegree(size=10),2,1000,100,0.3,1.405,0.5277073052365298,10.0
FirstFitBatchDegree(size=10),3,50,100,0.3,1.63,0.5595533933415112,10.0
FirstFitBatchDegree(size=10),3,100,100,0.3,1.836666666666667,0.7520268907721614,10.0
FirstFitBatchDegree(size=10),3,150,100,0.3,1.99,0.9421665339937404,10.0
FirstFitBatchDegree(size=10),3,200,100,0.3,2.023333333333333,0.9879889787959288,10.0
FirstFitBatchDegree(size=10),3,300,100,0.3,1.8966666666666667,0.7567400845439308,10.0
FirstFitBatchDegree(size=10),3,400,100,0.3,2.023333333333333,0.9778150245430997,10.0
FirstFitBatchDegree(size=10),3,500,100,0.3,2.033333333333333,0.8913161304747291,10.0
FirstFitBatchDegree(size=10),3,600,100,0.3,1.94,0.8836540298354579,10.0
FirstFitBatchDegree(size=10),3,700,100,0.3,2.09,1.006484530984511,10.0
FirstFitBatchDegree(size=10),3,800,100,0.3,1.9,0.9291573243177568,10.0
FirstFitBatchDegree(size=10),3,900,100,0.3,2.1733333333333333,1.155162326255492,10.0
FirstFitBatchDegree(size=10),3,1000,100,0.3,2.0966666666666667,0.937247743840087,10.0
FirstFitBatchDegree(size=10),4,50,100,0.3,1.8525,0.4900191322795468,10.0
FirstFitBatchDegree(size=10),4,100,100,0.3,2.335,0.737580504080741,10.0
FirstFitBatchDegree(size=10),4,150,100,0.3,2.5525,0.9748685808866752,10.0
FirstFitBatchDegree(size=10),4,200,100,0.3,2.5875,1.1370878374162658,10.0
FirstFitBatchDegree(size=10),4,300,100,0.3,2.79,1.1032452129966392,10.0
FirstFitBatchDegree(size=10),4,400,100,0.3,2.645,1.0625323524486208,10.0
FirstFitBatchDegree(size=10),4,500,100,0.3,2.9325,1.3289351940557523,10.0
FirstFitBatchDegree(size=10),4,600,100,0.3,2.8575,1.2325050709834828,10.0
FirstFitBatchDegree(size=10),4,700,100,0.3,2.915,1.375327233788381,10.0
FirstFitBatchDegree(size=10),4,800,100,0.3,3.085,1.530612622448933,10.0
FirstFitBatchDegree(size=10),4,900,100,0.3,3.025,1.5233597736582123,10.0
FirstFitBatchDegree(size=10),4,1000,100,0.3,2.98,1.3396268137059664,10.0
FirstFitBatchDegree(size=50),2,50,100,0.3,1.025,0.1299038105676657,50.0
FirstFitBatchDegree(size=50),2,100,100,0.3,1.04,0.1356465996625053,50.0
FirstFitBatchDegree(size=50),2,150,100,0.3,1.095,0.3917588543989784,50.0
FirstFitBatchDegree(size=50),2,200,100,0.3,1.13,0.3132091952673165,50.0
FirstFitBatchDegree(size=50),2,300,100,0.3,1.15,0.3570714214271425,50.0
FirstFitBatchDegree(size=50),2,400,100,0.3,1.14,0.4188078318274384,50.0
FirstFitBatchDegree(size=50),2,500,100,0.3,1.165,0.4530728418256826,50.0
FirstFitBatchDegree(size=50),2,600,100,0.3,1.165,0.3876531955240405,50.0
FirstFitBatchDegree(size=50),2,700,100,0.3,1.1,0.2549509756796392,50.0
FirstFitBatchDegree(size=50),2,800,100,0.3,1.14,0.332264954516723,50.0
FirstFitBatchDegree(size=50),2,900,100,0.3,1.155,0.3442019755899143,50.0
FirstFitBatchDegree(size=50),2,1000,100,0.3,1.16,0.3072458299147443,50.0
FirstFitBatchDegree(size=50),3,50,100,0.3,1.1166666666666667,0.2881936077631764,50.0
FirstFitBatchDegree(size=50),3,100,100,0.3,1.356666666666667,0.4624932431938871,50.0
FirstFitBatchDegree(size=50),3,150,100,0.3,1.4266666666666667,0.6129709074118717,50.0
FirstFitBatchDegree(size=50),3,200,100,0.3,1.3133333333333332,0.4442721888412303,50.0
FirstFitBatchDegree(size=50),3,300,100,0.3,1.4633333333333334,0.6829592471980545,50.0
FirstFitBatchDegree(size=50),3,400,100,0.3,1.5566666666666666,0.7789665518421757,50.0
FirstFitBatchDegree(size=50),3,500,100,0.3,1.63,0.7956758133813042,50.0
FirstFitBatchDegree(size=50),3,600,100,0.3,1.61,0.7860661549767933,50.0
FirstFitBatchDegree(size=50),3,700,100,0.3,1.64,0.9269783648440176,50.0
FirstFitBatchDegree(size=50),3,800,100,0.3,1.5133333333333334,0.6279065747917175,50.0
FirstFitBatchDegree(size=50),3,900,100,0.3,1.61,0.670082913609287,50.0
FirstFitBatchDegree(size=50),3,1000,100,0.3,1.5833333333333333,0.807430767585955,50.0
